Name,Runtime,dropout_prob,learning_rate,model_type,pretrained,views,best_val_accuracy,epoch_time_sec,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy,test_loss
resnet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views6,6219,0.2,0.0005,resnet,False,6,0.9467153284671532,61.94127702713013,0.9946916471506636,0.0155462746298203,0.9233576642335768,0.5834968416419378,0.9277372262773724,0.3160352563835877
resnet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views6,6215,0.0,0.0005,resnet,False,6,0.9408759124087592,62.00473427772522,0.9973458235753316,0.0096648378753135,0.935036496350365,0.4193040573999472,0.924087591240876,0.4398922414976089
resnet_lr0.0005_dp0.2_pretrained=True_BugNIST_256_screenshots_views6,6221,0.2,0.0005,resnet,True,6,0.9474452554744526,61.93720173835754,0.9959406713505076,0.0166651716885917,0.9284671532846716,0.6585875961967973,0.9343065693430656,0.513138724061178
resnet_lr0.0005_dp0.0_pretrained=True_BugNIST_256_screenshots_views6,6217,0.0,0.0005,resnet,True,6,0.9430656934306568,62.20572280883789,0.9970335675253708,0.0136160953929354,0.9248175182481752,0.5109520515509843,0.9364963503649636,0.3073238588950095
conv2d_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views6,6513,0.2,0.0005,conv2d,False,6,0.9562043795620438,65.31228017807007,0.9508196721311476,0.1341326869761416,0.9554744525547444,0.1229208395646436,0.9510948905109488,0.1376758625597674
conv2d_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views6,6527,0.0,0.0005,conv2d,False,6,0.9496350364963504,64.89114570617676,0.9779859484777518,0.0683167183042916,0.9430656934306568,0.198230428168603,0.9562043795620438,0.1375367507298871
densenet_lr0.0005_dp0.2_pretrained=False_BugNIST_256_screenshots_views6,8040,0.2,0.0005,densenet,False,6,0.9408759124087592,80.21144104003906,0.9940671350507416,0.0260492255784085,0.9313868613138686,0.627064555331995,0.9255474452554744,0.828703569846908
densenet_lr0.0005_dp0.0_pretrained=False_BugNIST_256_screenshots_views6,8016,0.0,0.0005,densenet,False,6,0.9416058394160584,80.13700413703918,0.995472287275566,0.0182451667846403,0.9343065693430656,0.802139969967192,0.9175182481751823,0.3978556549301948
densenet_lr0.0005_dp0.2_pretrained=True_BugNIST_256_screenshots_views6,8042,0.2,0.0005,densenet,True,6,0.9547445255474452,82.92768692970276,0.9968774395003904,0.0095820901512407,0.9481751824817518,0.4318102502264325,0.9372262773722628,0.4435183049498634
densenet_lr0.0005_dp0.0_pretrained=True_BugNIST_256_screenshots_views6,7979,0.0,0.0005,densenet,True,6,0.954014598540146,79.98856234550476,0.9976580796252928,0.0087726077532489,0.9510948905109488,0.5056049301184314,0.9474452554744526,0.4891564437512022
