"Step","resnet_lr1.01_dp0.0_bugnist_064 - train_accuracy","resnet_lr1.01_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr1.01_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.0001_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.0001_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.0001_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.001_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.001_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.001_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.01_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.01_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.01_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.1_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.1_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.1_dp0.0_bugnist_064 - train_accuracy__MAX"
"10","0.1813358302122347","0.1813358302122347","0.1813358302122347","0.973314606741573","0.973314606741573","0.973314606741573","0.9480337078651685","0.9480337078651685","0.9480337078651685","0.9392946317103621","0.9392946317103621","0.9392946317103621","0.9308676654182272","0.9308676654182272","0.9308676654182272","0.8884207240948814","0.8884207240948814","0.8884207240948814"
"11","0.20833333333333334","0.20833333333333334","0.20833333333333334","0.9794007490636704","0.9794007490636704","0.9794007490636704","0.9559925093632958","0.9559925093632958","0.9559925093632958","0.9516229712858927","0.9516229712858927","0.9516229712858927","0.9388264669163545","0.9388264669163545","0.9388264669163545","0.8888888888888888","0.8888888888888888","0.8888888888888888"
"12","0.21629213483146068","0.21629213483146068","0.21629213483146068","0.9803370786516854","0.9803370786516854","0.9803370786516854","0.9588014981273408","0.9588014981273408","0.9588014981273408","0.9570848938826467","0.9570848938826467","0.9570848938826467","0.9458489388264669","0.9458489388264669","0.9458489388264669","0.901685393258427","0.901685393258427","0.901685393258427"
"13","0.22908863920099876","0.22908863920099876","0.22908863920099876","0.9833021223470662","0.9833021223470662","0.9833021223470662","0.9592696629213483","0.9592696629213483","0.9592696629213483","0.9573970037453183","0.9573970037453183","0.9573970037453183","0.9447565543071161","0.9447565543071161","0.9447565543071161","0.9058988764044944","0.9058988764044944","0.9058988764044944"
"14","0.25936329588014984","0.25936329588014984","0.25936329588014984","0.9818976279650437","0.9818976279650437","0.9818976279650437","0.9708177278401997","0.9708177278401997","0.9708177278401997","0.96332709113608","0.96332709113608","0.96332709113608","0.9491260923845194","0.9491260923845194","0.9491260923845194","0.9102684144818977","0.9102684144818977","0.9102684144818977"
"15","0.26186017478152307","0.26186017478152307","0.26186017478152307","0.9861111111111112","0.9861111111111112","0.9861111111111112","0.9712858926342073","0.9712858926342073","0.9712858926342073","0.9666042446941323","0.9666042446941323","0.9666042446941323","0.9580212234706617","0.9580212234706617","0.9580212234706617","0.9102684144818977","0.9102684144818977","0.9102684144818977"
"16","0.2777777777777778","0.2777777777777778","0.2777777777777778","0.9890761548064919","0.9890761548064919","0.9890761548064919","0.9708177278401997","0.9708177278401997","0.9708177278401997","0.9686329588014981","0.9686329588014981","0.9686329588014981","0.96145443196005","0.96145443196005","0.96145443196005","0.9093320848938826","0.9093320848938826","0.9093320848938826"
"17","0.28901373283395754","0.28901373283395754","0.28901373283395754","0.9918851435705368","0.9918851435705368","0.9918851435705368","0.9691011235955056","0.9691011235955056","0.9691011235955056","0.9686329588014981","0.9686329588014981","0.9686329588014981","0.9584893882646691","0.9584893882646691","0.9584893882646691","0.9133895131086143","0.9133895131086143","0.9133895131086143"
"18","0.26373283395755304","0.26373283395755304","0.26373283395755304","0.9962546816479401","0.9962546816479401","0.9962546816479401","0.9794007490636704","0.9794007490636704","0.9794007490636704","0.9769038701622972","0.9769038701622972","0.9769038701622972","0.9670724094881398","0.9670724094881398","0.9670724094881398","0.9213483146067416","0.9213483146067416","0.9213483146067416"
"19","0.27075530586766544","0.27075530586766544","0.27075530586766544","0.9943820224719101","0.9943820224719101","0.9943820224719101","0.971441947565543","0.971441947565543","0.971441947565543","0.9789325842696629","0.9789325842696629","0.9789325842696629","0.9680087390761548","0.9680087390761548","0.9680087390761548","0.9174469413233458","0.9174469413233458","0.9174469413233458"
"20","0.28542446941323346","0.28542446941323346","0.28542446941323346","0.9921972534332085","0.9921972534332085","0.9921972534332085","0.974250936329588","0.974250936329588","0.974250936329588","0.9656679151061174","0.9656679151061174","0.9656679151061174","0.9681647940074907","0.9681647940074907","0.9681647940074907","0.9225967540574282","0.9225967540574282","0.9225967540574282"
"21","0.2745006242197253","0.2745006242197253","0.2745006242197253","0.9893882646691635","0.9893882646691635","0.9893882646691635","0.9851747815230961","0.9851747815230961","0.9851747815230961","0.9730024968789014","0.9730024968789014","0.9730024968789014","0.9680087390761548","0.9680087390761548","0.9680087390761548","0.9316479400749064","0.9316479400749064","0.9316479400749064"
"22","0.241729088639201","0.241729088639201","0.241729088639201","0.9901685393258427","0.9901685393258427","0.9901685393258427","0.983458177278402","0.983458177278402","0.983458177278402","0.9829900124843945","0.9829900124843945","0.9829900124843945","0.9784644194756554","0.9784644194756554","0.9784644194756554","0.9371098626716604","0.9371098626716604","0.9371098626716604"
"23","0.26732209737827717","0.26732209737827717","0.26732209737827717","0.9939138576779026","0.9939138576779026","0.9939138576779026","0.9847066167290887","0.9847066167290887","0.9847066167290887","0.9861111111111112","0.9861111111111112","0.9861111111111112","0.9823657927590512","0.9823657927590512","0.9823657927590512","0.9422596754057428","0.9422596754057428","0.9422596754057428"
"24","0.30446317103620474","0.30446317103620474","0.30446317103620474","0.9940699126092385","0.9940699126092385","0.9940699126092385","0.9848626716604245","0.9848626716604245","0.9848626716604245","0.9801810237203495","0.9801810237203495","0.9801810237203495","0.9744069912609239","0.9744069912609239","0.9744069912609239","0.9313358302122348","0.9313358302122348","0.9313358302122348"
