"Step","resnet_lr1.01_dp0.0_bugnist_064 - train_accuracy","resnet_lr1.01_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr1.01_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.0001_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.0001_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.0001_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.001_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.001_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.001_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.01_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.01_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.01_dp0.0_bugnist_064 - train_accuracy__MAX","resnet_lr0.1_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.1_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.1_dp0.0_bugnist_064 - train_accuracy__MAX"
"0","0.191167290886392","0.191167290886392","0.191167290886392","0.7954119850187266","0.7954119850187266","0.7954119850187266","0.757334581772784","0.757334581772784","0.757334581772784","0.699438202247191","0.699438202247191","0.699438202247191","0.44225967540574285","0.44225967540574285","0.44225967540574285","0.2901061173533084","0.2901061173533084","0.2901061173533084"
"1","0.2292446941323346","0.2292446941323346","0.2292446941323346","0.8898252184769039","0.8898252184769039","0.8898252184769039","0.8670411985018727","0.8670411985018727","0.8670411985018727","0.8461298377028714","0.8461298377028714","0.8461298377028714","0.758270911360799","0.758270911360799","0.758270911360799","0.6441947565543071","0.6441947565543071","0.6441947565543071"
"2","0.2376716604244694","0.2376716604244694","0.2376716604244694","0.9221285892634207","0.9221285892634207","0.9221285892634207","0.8977840199750312","0.8977840199750312","0.8977840199750312","0.8846754057428214","0.8846754057428214","0.8846754057428214","0.8398876404494382","0.8398876404494382","0.8398876404494382","0.7489076154806492","0.7489076154806492","0.7489076154806492"
"3","0.23548689138576778","0.23548689138576778","0.23548689138576778","0.9372659176029963","0.9372659176029963","0.9372659176029963","0.9094881398252185","0.9094881398252185","0.9094881398252185","0.9023096129837703","0.9023096129837703","0.9023096129837703","0.8639200998751561","0.8639200998751561","0.8639200998751561","0.7930711610486891","0.7930711610486891","0.7930711610486891"
"4","0.25842696629213485","0.25842696629213485","0.25842696629213485","0.9446004993757803","0.9446004993757803","0.9446004993757803","0.9183832709113608","0.9183832709113608","0.9183832709113608","0.9121410736579276","0.9121410736579276","0.9121410736579276","0.8952871410736579","0.8952871410736579","0.8952871410736579","0.8016541822721598","0.8016541822721598","0.8016541822721598"
"5","0.2459425717852684","0.2459425717852684","0.2459425717852684","0.9481897627965044","0.9481897627965044","0.9481897627965044","0.9250936329588015","0.9250936329588015","0.9250936329588015","0.9222846441947565","0.9222846441947565","0.9222846441947565","0.9083957553058677","0.9083957553058677","0.9083957553058677","0.8309925093632958","0.8309925093632958","0.8309925093632958"
"6","0.25749063670411987","0.25749063670411987","0.25749063670411987","0.9566167290886392","0.9566167290886392","0.9566167290886392","0.9288389513108615","0.9288389513108615","0.9288389513108615","0.9302434456928839","0.9302434456928839","0.9302434456928839","0.9121410736579276","0.9121410736579276","0.9121410736579276","0.843789013732834","0.843789013732834","0.843789013732834"
"7","0.25780274656679153","0.25780274656679153","0.25780274656679153","0.9597378277153558","0.9597378277153558","0.9597378277153558","0.9424157303370787","0.9424157303370787","0.9424157303370787","0.927434456928839","0.927434456928839","0.927434456928839","0.9191635455680399","0.9191635455680399","0.9191635455680399","0.8642322097378277","0.8642322097378277","0.8642322097378277"
"8","0.2567103620474407","0.2567103620474407","0.2567103620474407","0.973314606741573","0.973314606741573","0.973314606741573","0.9405430711610487","0.9405430711610487","0.9405430711610487","0.9371098626716604","0.9371098626716604","0.9371098626716604","0.9302434456928839","0.9302434456928839","0.9302434456928839","0.8721910112359551","0.8721910112359551","0.8721910112359551"
"9","0.19538077403245943","0.19538077403245943","0.19538077403245943","0.9775280898876404","0.9775280898876404","0.9775280898876404","0.9472534332084894","0.9472534332084894","0.9472534332084894","0.9464731585518102","0.9464731585518102","0.9464731585518102","0.9264981273408239","0.9264981273408239","0.9264981273408239","0.8743757802746567","0.8743757802746567","0.8743757802746567"
